Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Cluster
The Croods: A New Age,"searching for a safer habitat, the prehistoric crood family discovers an idyllic, walled-in paradise that meets all of its needs. unfortunately, they must also learn to live with the bettermans -- a family that's a couple of steps above the croods on the evolutionary ladder. as tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",284.798,2877,7.6,en,animation,-1
Back to the Outback,"tired of being locked in a reptile house where humans gawk at them like they are monsters, a ragtag group of australia’s deadliest creatures plot an escape from their zoo to the outback, a place where they’ll fit in without being judged.",282.246,341,7.7,en,animation,-1
The Tomorrow War,"the world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: thirty years in the future, mankind is losing a global war against a deadly alien species. the only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. among those recruited is high school teacher and family man dan forester. determined to save the world for his young daughter, dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",282.068,5182,8.0,en,action,-1
Home Team,"two years after a super bowl win when nfl head coach sean payton is suspended, he goes back to his hometown and finds himself reconnecting with his 12-year-old son by coaching his pop warner football team.",280.613,368,6.9,en,family,-1
The Fallout,"in the wake of a school tragedy, vada, mia and quinton form a unique and dynamic bond as they navigate the never linear, often confusing journey to heal in a world that feels forever changed.",279.344,130,7.4,en,drama,-1
Raya and the Last Dragon,"long ago, in the fantasy world of kumandra, humans and dragons lived together in harmony. but when an evil force threatened the land, the dragons sacrificed themselves to save humanity. now, 500 years later, that same evil has returned and it’s up to a lone warrior, raya, to track down the legendary last dragon to restore the fractured land and its divided people.",277.59,5048,8.0,en,family,-1
Infinite,"evan mccauley has skills he never learned and memories of places he has never visited. self-medicated and on the brink of a mental breakdown, a secret group that call themselves “infinites” come to his rescue, revealing that his memories are real.",276.461,912,6.8,en,science fiction,-1
Wrath of Man,"a cold and mysterious new security guard for a los angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. the crew is left wondering who he is and where he came from. soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",273.622,3376,7.7,en,action,-1
Fortress,"the story revolves around a top-secret resort for retired u.s. intelligence officers. a group of criminals led by balzary breach the compound, hellbent on revenge on robert, forcing the retired officer and his son to save the day.",273.35,163,6.2,en,crime,-1
Space Jam: A New Legacy,"when lebron and his young son dom are trapped in a digital space by a rogue a.i., lebron must get them home safe by leading bugs, lola bunny and the whole gang of notoriously undisciplined looney tunes to victory over the a.i.'s digitized champions on the court. it's tunes versus goons in the highest-stakes challenge of his life.",271.573,2952,7.1,en,family,-1
